# THE 1969 · Sybil Farm Audit · Top 45 receivers by lifetime BUSTS received
# Pattern: each "receiver" account got large numbers of small BUSTS transfers
# from many different X accounts in a short time window — clear sybil consolidation.
# Source: busts_ledger entries with reason "Received from @<sender>"
# Generated: 2026-05-01
#
# Columns:
#   receiver_x_username   — the consolidating account (the sybil farmer's main wallet)
#   user_id               — internal user UUID for cross-reference
#   current_balance       — what's still in the account (most farmers already sold via OTC)
#   suspended             — whether anti-farm has already caught them
#   unique_senders        — how many distinct sybil accounts sent to them
#   total_transfers       — total transfer events received
#   total_busts_received  — sum of BUSTS received via P2P
#   first_at / last_at    — the activity window (typically minutes to hours)
#
receiver_x_username,user_id,current_balance,suspended,unique_senders,total_transfers,total_busts_received,first_at,last_at
KyanSimone,4045beb8-9a72-4abd-8541-1495f07dbef7,122,false,9727,16026,1162671,2026-04-25T05:26:58.890Z,2026-04-30T17:40:16.346Z
GaoBlue113,60f88611-16b3-4a97-a6e6-0e2e5b09e0a0,0,false,525,2653,434958,2026-04-27T02:15:24.386Z,2026-05-01T00:07:44.922Z
letung0x,fb75aa68-8f88-446b-bf4a-1acbc13ae77c,0,false,4330,4331,216810,2026-04-26T16:34:00.278Z,2026-04-29T11:09:41.075Z
LuanaKrull1,19997d52-18c6-4138-9c2d-f2a9ba1e188a,36,false,707,710,135300,2026-04-25T06:49:33.722Z,2026-04-27T14:33:58.937Z
FredaMaddo39741,41197455-17e1-4c42-9825-0a09ec672be0,0,false,2691,2691,134550,2026-04-29T01:13:24.588Z,2026-04-30T14:19:27.155Z
Marc244922,eed36d2e-1170-41bb-af3b-fa8618e4f0cc,88121,true,426,472,91381,2026-04-26T18:14:37.603Z,2026-04-26T19:42:49.620Z
CasperRosa59415,c19dd30a-a7e8-4b5b-a898-be56d346c384,0,false,522,522,83520,2026-04-28T03:33:05.516Z,2026-04-28T03:36:11.723Z
Mtfuxk2,b97bc334-151d-4866-a438-9dc4e434f84c,0,false,1201,1201,60260,2026-04-29T11:55:16.925Z,2026-04-29T14:22:46.633Z
coinbise,ccf80afc-c0db-401c-ab11-04d3650ce922,2629,false,190,414,56491,2026-04-26T16:21:12.185Z,2026-04-29T19:21:37.859Z
salunweier,b790abac-6962-45fd-936c-451b5c3073b4,24,false,52,105,51007,2026-04-27T17:11:28.809Z,2026-04-29T17:09:26.470Z
aegensabs,24fdd615-25cf-4a55-b6f6-5c3b6548ae2c,200,false,494,494,49400,2026-04-27T20:10:53.794Z,2026-04-27T20:19:10.873Z
milwik_eth,a97cf7de-0893-4e4c-abef-90f7c75b0120,0,false,84,222,43415,2026-04-26T15:23:49.907Z,2026-04-29T23:16:07.879Z
MaxDB3,8ba473c3-5acd-443a-802a-e6f245a84b59,0,false,254,269,30365,2026-04-27T02:43:55.868Z,2026-04-30T20:41:47.545Z
ciptaicha,8cbbcf2d-5784-4fa4-b63c-f4f30f97533b,2,false,125,219,27204,2026-04-27T00:52:31.779Z,2026-05-01T02:08:00.082Z
OrangeCat0120,af52b277-9fd2-4514-8596-5c4e1cfd81c0,0,false,338,338,26850,2026-04-25T15:01:26.584Z,2026-04-30T10:04:47.225Z
cuadero_ann,5fda2251-38b9-448c-9bcd-2792c2b304c9,36,false,109,110,25372,2026-04-28T06:16:07.081Z,2026-04-28T11:40:39.010Z
nasdake2,cf7938ae-0619-413f-9966-265c16ccefb4,36,false,88,108,24890,2026-04-27T13:12:47.522Z,2026-04-28T06:01:53.459Z
kenkenino1985,bb99e51b-383e-4a1c-9420-455833ba4cbe,0,false,22,121,24742,2026-04-26T12:30:38.362Z,2026-04-30T04:47:38.558Z
LgVuhungphi,5301fae1-1209-4bd4-9a3a-0abeb5dae3e7,50,false,40,137,24442,2026-04-26T20:54:01.087Z,2026-04-30T13:54:52.797Z
0xLowryimh,b599174c-882d-4d3c-8245-b9dc2cde4feb,41,false,7,103,21788,2026-04-24T18:59:39.443Z,2026-04-29T18:19:31.643Z
Hjunethyurimbhi,14d39ffd-3af7-4239-864d-c72278b32c33,60,false,28,110,21242,2026-04-25T20:05:58.158Z,2026-04-30T08:01:25.582Z
Milton180293,fd15a3b1-2061-4af5-a5a3-40af507e646c,170,true,147,147,21190,2026-04-26T15:16:45.184Z,2026-04-26T16:03:12.702Z
NnnShylo,7c28c792-0c2e-4d6e-aaf4-f09e16739a2c,0,false,377,377,18850,2026-04-26T02:37:27.708Z,2026-04-26T03:19:02.492Z
montseblu,08fd275e-8dee-446b-9587-0f4eaf8ff81b,10,true,360,360,18000,2026-04-24T21:50:16.760Z,2026-04-24T22:48:23.394Z
0xKlaayn,33e7ed29-ccfc-4a7a-895e-f75078f4b960,0,false,149,160,17777,2026-04-27T02:02:12.741Z,2026-04-30T12:31:59.092Z
JuanDTorresH,d1beda83-73e2-47c2-a38d-f2f9ab5991bf,0,false,350,350,17500,2026-05-01T14:58:48.745Z,2026-05-01T14:59:05.469Z
Bhaanuchandran,089e5377-5198-4301-946f-04a2ef5af245,0,false,349,349,17450,2026-05-01T14:59:24.180Z,2026-05-01T14:59:40.040Z
big10kts,b07df05f-8d8a-4e4e-a3f9-ab2294f3eef3,0,false,349,349,17450,2026-05-01T14:59:06.628Z,2026-05-01T14:59:22.682Z
ashlack,7439fdff-1109-4e8e-bb20-d7fa58d5fa5f,0,false,349,349,17450,2026-05-01T14:54:34.662Z,2026-05-01T14:54:51.014Z
virenderjeet,192136da-e34d-43f2-b2bb-63c35be3c587,0,false,349,349,17450,2026-05-01T14:58:31.087Z,2026-05-01T14:58:47.654Z
Mujerumani254,67f88621-8c6f-4403-a277-6118de353fee,0,false,348,348,17400,2026-05-01T14:58:12.292Z,2026-05-01T14:58:29.821Z
SwarthoutL44541,d680a34f-5af6-4b06-b4fd-cbf407a1044d,0,false,166,173,17200,2026-04-27T16:51:01.010Z,2026-04-27T19:26:53.556Z
sixclassique,ceaf9527-89c5-46b7-9236-c0c870f86304,31,false,143,143,14300,2026-04-27T19:10:54.990Z,2026-04-27T19:30:19.353Z
alpopasta_ahmed,844fb99e-09f5-4e16-a776-3ea6e3a51c1a,29,false,141,141,14100,2026-04-28T12:28:38.435Z,2026-04-28T12:35:05.354Z
Te_xxp,1c1f417e-fd94-45dd-87f5-d1fa059a7c4d,25,false,280,280,14000,2026-04-26T10:47:24.969Z,2026-04-26T13:31:50.751Z
0xunang,88686fbb-5f34-4073-9d93-47169833b5f6,2565,false,34,108,13823,2026-04-24T07:03:25.013Z,2026-04-30T16:46:02.253Z
heyitstamz,13372024-ff05-4868-9c42-91ffe17d2918,0,false,110,112,13320,2026-04-27T09:19:38.632Z,2026-04-28T12:05:46.827Z
mccleertanesha,8baa5e07-8317-49bb-ab8f-8d7ae83a513c,16,false,250,250,12500,2026-04-25T05:40:12.081Z,2026-04-25T05:57:41.490Z
PumpVaultBase,b9a46785-5e5d-4792-93a7-a0488544c0c7,8,false,89,215,12254,2026-04-27T01:29:30.535Z,2026-04-30T10:36:28.038Z
coindots003419,e20ab6c5-0c4b-4576-a4d2-8e3cd341eefb,0,false,106,107,10760,2026-04-27T05:45:14.072Z,2026-04-27T09:05:03.827Z
Kriefy_,b22920ec-ac58-4a6d-96a0-f5c7d3984c02,0,false,188,188,9400,2026-04-25T16:02:56.753Z,2026-04-25T16:42:07.720Z
harishkumar_vc,8bfef3b2-b9c9-49d3-998a-6851d75dbc6b,0,true,122,122,6100,2026-04-24T22:57:09.630Z,2026-04-24T23:05:28.683Z
0xbigpao,c9fd9f49-73bb-45ff-8ac8-e7942ce21590,0,false,118,118,5960,2026-04-24T18:41:32.762Z,2026-04-24T20:49:41.119Z
CynCerven,529e26a6-2a54-4bdd-b663-116f4cd497ab,800,true,116,116,5800,2026-04-24T20:53:28.701Z,2026-04-24T21:02:58.813Z
